Process,Nevents,Seed
ggHZZ,10000,0
ggHZZ,10000,1
ggHZZ,10000,2
ggHZZ,10000,3
ggHZZ,10000,4
ggHZZ,10000,5
ggHZZ,10000,6
ggHZZ,10000,7
ggHZZ,10000,8
ggHZZ,10000,9
