Process,Nevents,Seed
ggHcc,10000,0
ggHcc,10000,1
ggHcc,10000,2
ggHcc,10000,3
ggHcc,10000,4
ggHcc,10000,5
ggHcc,10000,6
ggHcc,10000,7
ggHcc,10000,8
ggHcc,10000,9
